nk,sk,tcg,name,set,sf,ck,mp
llanowarelves,dominaria,0.3,Llanowar Elves,Dominaria,581b7327-3215-4a4f-b4ae-d9d4002ba882,0.79,0.15
llanowarelves,dueldeckselvesvsgoblins,0.3,Llanowar Elves,Duel Decks: Elves vs. Goblins,a6971b0a-274c-444c-aea8-5e114b4aecdd,0.69,0.28
recklesshandling,marchofmachineaftermath,0.3,Reckless Handling,March of the Machine: The Aftermath,239165bb-7819-4d54-a84c-2911934253d6,0.59,0.15
tavernscoundrel,modernhorizons2,0.3,Tavern Scoundrel,Modern Horizons 2,55082c8a-d792-4cd8-94b1-d80c65804463,0.35,0.15
bloodfiredwarf,apocalypse,0.3,Bloodfire Dwarf,Apocalypse,86b5c38e-7d74-4862-8187-f5db4a3d1e0f,0.39,0.25
exoticorchard,2017,0.31,Exotic Orchard,Commander 2017,236e40f8-ea7b-4c3f-b23e-81aed45b5375,0.69,0.28
youngwolf,innistradremastered,0.31,Young Wolf,Innistrad Remastered,ed2ca825-b029-495f-83fc-54366229d417,0.35,0.15
transmogrify,coreset2021,0.31,Transmogrify,Core Set 2021,f2fa5133-c238-47e8-befd-3729a3e4303a,0.49,0.19
dispel,returntoravnica,0.31,Dispel,Return to Ravnica,08d4a8d7-c136-472f-8146-a1100701ca4f,0.39,0.29
spireofindustry,fallout,0.31,Spire of Industry,Universes Beyond: Fallout,cdda2ce8-23d1-4814-8e81-d6cf40f75a13,0.49,0.19
llanowarelves,coreset2019,0.31,Llanowar Elves,Core Set 2019,73542493-cd0b-4bb7-a5b8-8f889c76e4d6,0.79,0.25
mindstone,2018,0.31,Mind Stone,Commander 2018,42bd038d-1005-4095-9310-108caa56465f,0.99,0.3
chromaticstar,10thedition,0.31,Chromatic Star,10th Edition,3233db3e-ec30-4be5-867d-81855652a8b0,0.59,0.53
phyrexianrevoker,legendsbattleforbaldursgate,0.31,Phyrexian Revoker,Commander Legends: Battle for Baldur's Gate,d5ef9f3b-d6f8-4795-ba96-2f92b8792360,0.49,0.3
hiddenstrings,dragonsmaze,0.31,Hidden Strings,Dragon's Maze,216e8047-6f54-49ce-bf86-27dc8fc8c8f7,0.59,0.27
zoyowasjustice,lostcavernsofixalan,0.31,Zoyowa's Justice,The Lost Caverns of Ixalan,04839717-d2f9-481d-9d13-e4038dbcbb0e,0.35,0.15
divergenttransformations,2016,0.31,Divergent Transformations,Commander 2016,2fb220db-604d-4779-9f57-fbcaf5c92cbf,0.69,0.7
mindstone,dueldecksanthology,0.31,Mind Stone,Duel Decks: Anthology,a1baff4f-eaeb-4fe2-821d-5b9079aad4b1,0.99,0.55
chainerdementiamaster,masters,0.32,"Chainer, Dementia Master",Commander Masters,186c30e6-2b84-415d-83e4-ecddaeb11ca1,0.49,0.15
malcolmkeeneyednavigator,legends,0.32,"Malcolm, Keen-Eyed Navigator",Commander Legends,bbc3bbda-a4bc-4302-a3fc-b1c89f0f5461,0.39,0.15
enslaveddwarf,torment,0.32,Enslaved Dwarf,Torment,da5003a6-211e-43d3-9a3c-756496357163,0.35,0.34
confoundingconundrum,zendikarrising,0.32,Confounding Conundrum,Zendikar Rising,95e37936-913e-4b16-a5a8-8aed733d702d,0.49,0.15
mindstone,dominariaremastered,0.32,Mind Stone,Dominaria Remastered,5cef8f31-a95e-49d0-ba75-7a639fcaa649,0.79,0.25
skycoachconductor,secretsofstrixhaven,0.32,Skycoach Conductor,Secrets of Strixhaven,4ecbca71-9a1d-44c5-b709-d6f565941d5e,0.49,0.15
holdoutsettlement,starterdecks,0.32,Holdout Settlement,Starter Commander Decks,abaf9baa-f9f6-429f-adad-af57d010a80a,0.39,0.15
smellerbeerebelfighter,avatarlastairbendereternallegal,0.32,"Smellerbee, Rebel Fighter",Avatar: The Last Airbender: Eternal-Legal,5aef6ece-929b-4636-b32e-58f91741b869,0.69,0.2
chainerdementiamaster,dominariaremastered,0.32,"Chainer, Dementia Master",Dominaria Remastered,c294695b-a096-441a-9034-91ca74763903,0.49,0.15
anointedpeacekeeper,dominariaunited,0.32,Anointed Peacekeeper,Dominaria United,5b8127b5-3a65-411a-84bc-54e5c1be1477,0.49,0.15
llanowarelves,2014,0.32,Llanowar Elves,Commander 2014,ee7b36b5-9c10-4139-a0f9-5b9ea7afff5a,0.99,0.36
misterfantasticreedrichards,marvelsuperheroes,0.32,"Mister Fantastic, Reed Richards",Marvel Super Heroes,17ef068b-61fc-443d-97b0-1e41f2622425,0.39,0.15
retractionhelix,masters25,0.33,Retraction Helix,Masters 25,7aa3fdd0-34d8-47b3-9753-d2929838732e,0.35,0.2
exoticorchard,2021,0.33,Exotic Orchard,Commander 2021,b45cbc0e-3f5c-4f27-9463-3cffb0f63e3c,0.49,0.18
snapback,timespiralremastered,0.33,Snapback,Time Spiral: Remastered,367d46d1-fa7a-403d-8949-b478a1f83f46,0.99,0.3
phyrexianrevoker,doublemasters,0.33,Phyrexian Revoker,Double Masters,6982a82c-dd32-40d2-8dd2-ec92d0fc6c2d,0.49,0.34
wildcantor,guildpact,0.33,Wild Cantor,Guildpact,242dc29e-d8f5-4207-abbf-cf5425f08551,0.39,0.18
loyalapprentice,2018,0.33,Loyal Apprentice,Commander 2018,b5fef5fe-3e59-4fd6-8a88-7c1cee56892f,0.69,0.32
grapeshot,dominariaremastered,0.33,Grapeshot,Dominaria Remastered,923e1291-3999-4f81-ade4-073fb982143f,0.69,0.15
emeraldcharm,visions,0.33,Emerald Charm,Visions,e9c9199b-61b3-4794-878b-f065058f50f3,0.39,0.2
llanowarelves,10thedition,0.33,Llanowar Elves,10th Edition,c7a7fe6e-aa5a-4be6-a730-5cfff4fb89e3,0.79,0.41
marchofwretchedsorrow,kamigawaneondynasty,0.33,March of Wretched Sorrow,Kamigawa: Neon Dynasty,050a604e-6146-4e2e-88a5-863ecb3dfa1f,0.49,0.15
lightupthestage,legendsbattleforbaldursgate,0.33,Light Up the Stage,Commander Legends: Battle for Baldur's Gate,7034ff11-f7c7-4f33-be89-491ffec84833,0.59,0.31
lenaselflesschampion,coreset2019,0.33,"Lena, Selfless Champion",Core Set 2019,2ffcbcda-2ba3-45e7-80c0-85ea3b7eea0c,1.29,0.32
vaanstreetthief,finalfantasy,0.33,"Vaan, Street Thief",FINAL FANTASY,50e1ec29-9de3-4f1b-b818-057e030d475b,0.49,0.15
wallofroots,archenemy,0.33,Wall of Roots,Archenemy,95862196-1805-498e-84ee-3c6bbee1a673,0.99,0.4
exoticorchard,doctorwho,0.33,Exotic Orchard,Universes Beyond: Doctor Who,c2bc648d-def5-4442-9cfe-0f93fee631f4,0.49,0.15
volatilefault,lostcavernsofixalan,0.33,Volatile Fault,The Lost Caverns of Ixalan,9385abf3-b067-4586-bf3d-175526cf8f0a,0.39,0.15
grapeshot,dueldecksmindvsmight,0.33,Grapeshot,Duel Decks: Mind vs. Might,8dfe022f-cbdf-4710-af7b-9f0e213fc89c,0.59,0.3
impulsivepilferer,legends,0.33,Impulsive Pilferer,Commander Legends,55ba9bea-5549-45cf-896c-501a1c81fd5a,0.35,0.17
gingerbrute,foundationsjumpstart,0.34,Gingerbrute,Foundations Jumpstart,81ff4bca-f552-4e89-affe-31d6c91c82fc,0.69,0.16
grapeshot,timespiral,0.34,Grapeshot,Time Spiral,4ee33cb6-768e-44a0-b6f4-b8638aa84330,0.79,0.43
commandtower,2017,0.34,Command Tower,Commander 2017,d2b1183f-bfc6-425f-9089-8657f7c8822b,0.79,0.25
commandtower,2019,0.34,Command Tower,Commander 2019,c328d8ac-97df-4240-ac38-7cab363c5da1,0.69,0.26
lightupthestage,ravnicaallegiance,0.34,Light Up the Stage,Ravnica Allegiance,9287b848-2aeb-4c70-ac4a-acafb871b7a4,0.39,0.17
exoticorchard,masters,0.34,Exotic Orchard,Commander Masters,63325755-47d5-4bb2-a21c-f324c27e1bbd,0.49,0.22
dwarventrader,homelands,0.34,Dwarven Trader,Homelands,8e6d9318-30d6-473f-b576-cc249454440f,0.39,0.15
grapeshot,modernmasters,0.34,Grapeshot,Modern Masters,8cd49f85-7dbd-4cb6-b916-2adee29bb745,0.79,0.4
