Price,CardKingdom_pct,ManaPool_pct,Volume
10.41,-18.4,-41.0,52125
10.53,4.4,-29.0,89817
10.59,13.2,-26.3,98586
10.59,32.1,5.9,104562
10.67,-15.7,-17.5,66317
10.84,29.1,-10.1,100577
10.99,45.5,-3.8,105845
11.0,54.5,2.2,96873
11.03,45.0,3.8,98487
11.14,7.6,-15.2,100521
11.17,34.2,-6.9,106333
11.25,51.0,-4.7,106180
11.45,48.4,-11.8,105846
11.46,13.4,-18.2,106074
11.47,-56.5,-69.7,95900
11.52,47.5,5.7,105980
11.56,47.0,-5.4,103498
11.73,44.8,-2.3,92715
11.79,44.1,-14.5,100993
11.89,42.9,3.8,104288
11.92,59.3,-3.9,105095
11.93,-24.6,-39.9,83677
12.06,-62.8,-75.3,93691
12.07,32.5,-15.2,106042
12.17,-9.7,4.2,80550
12.33,13.5,-7.1,103700
12.35,-11.0,-28.3,85195
12.47,-3.8,-17.3,95118
12.56,67.1,3.7,104407
12.71,-45.0,-45.0,95649
12.78,17.3,-14.2,86008
12.85,8.9,-8.8,103063
12.95,-15.1,-19.5,85809
13.08,-16.0,-37.3,85301
13.32,27.6,-2.3,105334
13.54,32.9,-0.2,98920
13.56,17.9,-36.1,104249
13.85,22.7,-6.0,102441
13.92,7.7,-7.7,92458
13.92,65.2,4.2,106380
13.98,21.5,-3.7,101093
13.98,78.8,2.4,97280
14.1,20.5,-34.4,103957
14.28,54.0,-3.4,103706
14.29,46.9,-3.5,106235
14.3,67.8,2.0,98816
14.37,18.2,-21.8,103056
14.53,44.5,0.3,103487
14.74,-11.9,-9.9,73931
14.84,-5.7,26.3,76753
15.23,31.3,-8.3,92554
15.25,-1.7,-19.3,100698
15.29,-15.0,-28.4,101421
15.46,35.8,-3.4,104727
15.47,-29.0,-56.3,87096
15.55,9.3,-2.9,106113
15.87,13.4,-16.9,102376
16.01,-31.4,-34.9,104269
16.04,-31.5,-39.1,70925
16.21,11.0,-10.1,98801
16.53,27.0,0.6,97810
16.61,38.4,-5.9,105953
16.76,-10.6,-15.2,100453
16.87,30.3,3.1,100595
17.12,10.9,-14.9,93458
17.24,27.6,-5.0,96470
17.28,62.0,1.7,105466
17.28,33.0,-3.5,98158
17.32,27.0,4.8,91923
17.52,42.6,-3.0,91386
17.55,13.9,-5.0,99369
17.57,2.4,0.7,97633
17.61,7.8,-20.2,106032
17.71,18.5,-6.9,100001
17.8,-38.3,-47.6,68294
17.8,17.9,-23.9,106077
17.86,56.7,5.0,100760
17.99,27.8,4.2,102334
18.05,5.2,-16.5,101778
18.11,15.9,-7.5,101164
18.12,15.8,-3.4,105507
18.32,9.1,-11.0,92959
18.38,14.2,-4.6,83212
18.46,-8.0,-15.4,96709
18.56,2.3,-23.3,77998
18.69,49.8,0.2,106107
18.74,-70.7,-77.5,82316
19.0,-10.6,-32.4,95649
20.06,19.6,-1.9,88976
20.1,49.2,0.0,102878
20.2,38.6,-12.4,104875
20.32,23.0,-9.3,103122
20.32,13.1,-24.3,98013
20.32,37.7,-1.1,104798
20.38,37.3,-4.2,106404
20.49,17.1,-1.3,99410
20.68,6.3,-1.8,93407
22.21,8.0,12.6,66996
22.25,12.3,-9.9,103359
23.92,58.8,3.3,89400
23.95,16.9,-19.0,103679
24.05,58.0,-5.0,102684
24.52,-59.3,-54.2,84506
24.8,12.9,5.0,87096
25.64,-49.3,-67.4,72418
25.66,-2.6,-3.5,95521
26.08,64.8,-2.6,104140
26.56,43.0,3.9,92816
26.94,41.0,7.9,103947
26.99,22.2,-8.4,96017
27.2,58.1,3.4,103383
27.66,-9.7,-5.9,95869
27.68,44.5,32.0,90352
27.71,19.1,-3.2,87477
28.24,-97.2,-98.1,80694
28.69,15.0,-3.8,96375
28.7,39.3,7.0,104508
28.72,21.8,-35.0,100192
28.96,31.2,-2.9,100877
29.29,-4.4,-15.5,81722
29.68,28.0,-3.5,104785
29.88,0.4,-3.4,99692
30.51,40.9,-2.7,104178
30.87,13.3,-13.2,102020
31.09,6.1,-10.9,77661
32.2,24.2,-0.6,97745
