,tcgplayer,cardkingdom,manapool,name,set,nk
526535,9.71,8.99,9.84,Deep Gnome Terramancer,The List Reprints,deepgnometerramancer
582654,0.19,0.35,0.15,Dimir House Guard,The List Reprints,dimirhouseguard
203653,5.95,4.49,4.15,Dismember,The List Reprints,dismember
203935,1.23,0.79,0.93,Dispel,The List Reprints,dispel
284325,7.26,5.99,5.29,Doomsday,The List Reprints,doomsday
275139,2.13,1.99,1.87,Dragon's Rage Channeler,The List Reprints,dragonsragechanneler
222509,0.37,0.69,0.25,Drift of Phantasms,The List Reprints,driftofphantasms
222404,4.97,3.99,3.9,Dryad Arbor,The List Reprints,dryadarbor
203668,0.32,0.35,0.15,Duress,The List Reprints,duress
498590,0.36,0.99,0.28,Dwarven Grunt,The List Reprints,dwarvengrunt
498589,12.17,9.49,7.16,Dwarven Bloodboiler,The List Reprints,dwarvenbloodboiler
210375,,,,Eidolon of Rhetoric,The List Reprints,eidolonofrhetoric
203250,3.6,5.49,3.12,Eldritch Evolution,The List Reprints,eldritchevolution
203257,4.37,4.49,4.07,Elves of Deep Shadow,The List Reprints,elvesofdeepshadow
222356,35.01,37.99,32.3,Enlightened Tutor,The List Reprints,enlightenedtutor
202931,5.86,6.49,6.68,Ephemerate,The List Reprints,ephemerate
526542,66.94,74.99,67.67,Esper Sentinel,The List Reprints,espersentinel
203960,0.19,0.35,0.15,Essence Scatter,The List Reprints,essencescatter
243612,1.68,,1.3,Expedition Map,The List Reprints,expeditionmap
631650,3.25,2.29,2.07,Fabled Passage,The List Reprints,fabledpassage
600042,0.87,0.79,0.78,Faeburrow Elder,The List Reprints,faeburrowelder
581292,0.36,0.69,0.34,Faerie Seer,The List Reprints,faerieseer
204237,1.12,1.29,0.5,Fatal Push,The List Reprints,fatalpush
203084,4.23,1.79,2.52,Felidar Guardian,The List Reprints,felidarguardian
203981,0.31,0.49,0.15,Flashfreeze,The List Reprints,flashfreeze
507552,13.75,8.99,7.8100000000000005,Flusterstorm,The List Reprints,flusterstorm
222141,47.78,34.99,45.83,Food Chain,The List Reprints,foodchain
600074,10.17,11.99,10.14,Forbidden Orchard,The List Reprints,forbiddenorchard
454153,9.08,9.99,8.84,Force of Vigor,The List Reprints,forceofvigor
582964,2.17,4.49,2.09,Fyndhorn Elves,The List Reprints,fyndhornelves
204544,2.08,2.99,2.18,Galvanic Blast,The List Reprints,galvanicblast
283823,17.75,20.99,17.78,Gamble,The List Reprints,gamble
243625,57.04,74.99,57.67,Gemstone Caverns,The List Reprints,gemstonecaverns
480153,6.88,7.49,5.65,Gitaxian Probe,The List Reprints,gitaxianprobe
