productId,name,set,key
254601,Noxious Revival,The List Reprints,noxious revival
222763,"Nykthos, Shrine to Nyx",The List Reprints,nykthos shrine to nyx
284405,Obliterate,The List Reprints,obliterate
581986,Ophidian Eye,The List Reprints,ophidian eye
284406,Orim's Chant,The List Reprints,orims chant
203029,Ornithopter,The List Reprints,ornithopter
583148,Ornithopter of Paradise,The List Reprints,ornithopter of paradise
222479,Pact of Negation,The List Reprints,pact of negation
583150,Paradise Mantle,The List Reprints,paradise mantle
582777,Peer into the Abyss,The List Reprints,peer into the abyss
581994,Peregrine Drake,The List Reprints,peregrine drake
204122,Phyrexian Metamorph,The List Reprints,phyrexian metamorph
284412,Phyrexian Walker,The List Reprints,phyrexian walker
222448,Phyrexian Tower,The List Reprints,phyrexian tower
583403,Plundering Barbarian,The List Reprints,plundering barbarian
275351,Ponder,The List Reprints,ponder
210443,Pyretic Ritual,The List Reprints,pyretic ritual
583411,Pyrokinesis,The List Reprints,pyrokinesis
582828,Rain of Filth,The List Reprints,rain of filth
533194,Ranger-Captain of Eos,The List Reprints,rangercaptain of eos
204763,Reality Scramble,The List Reprints,reality scramble
582348,Reanimate,The List Reprints,reanimate
204764,Reckless Fireweaver,The List Reprints,reckless fireweaver
583169,Relic of Legends,The List Reprints,relic of legends
204133,Retraction Helix,The List Reprints,retraction helix
204134,Rhystic Study,The List Reprints,rhystic study
583425,Ricochet Trap,The List Reprints,ricochet trap
229334,Rite of Flame,The List Reprints,rite of flame
454421,Saheeli Rai,The List Reprints,saheeli rai
222489,Scroll Rack,The List Reprints,scroll rack
492687,Sea of Clouds,The List Reprints,sea of clouds
203506,"Selvala, Heart of the Wilds",The List Reprints,selvala heart of the wilds
262929,Sensei's Divining Top,The List Reprints,senseis divining top
512079,Serra Ascendant,The List Reprints,serra ascendant
254611,"Shinka, the Bloodsoaked Keep",The List Reprints,shinka the bloodsoaked keep
275359,Shivan Reef,The List Reprints,shivan reef
248718,"Sidisi, Undead Vizier",The List Reprints,sidisi undead vizier
243622,Silence,The List Reprints,silence
583188,Signal Pest,The List Reprints,signal pest
222142,Simian Spirit Guide,The List Reprints,simian spirit guide
496170,"Sisay, Weatherlight Captain",The List Reprints,sisay weatherlight captain
582615,Siren Stormtamer,The List Reprints,siren stormtamer
