productId,name,set,tcgplayer,cardkingdom,manapool,ck_pct,mp_pct,source,band
238611,Verdant Catacombs,Modern Horizons 2,27.16,37.99,29.12,39.87481590574375,7.216494845360828,top-5000 GMV,$20-50
698015,Molecule Man,Commander: Marvel Super Heroes,18.06,17.99,17.29,-0.3875968992248078,-4.263565891472866,top-5000 GMV,$10-20
670957,Chronicle of Victory,Lorwyn Eclipsed,19.93,29.99,19.79,50.47666833918715,-0.7024586051179156,top-5000 GMV,$10-20
687542,Sol Ring,Commander: Secrets of Strixhaven,1.59,2.79,1.4,75.47169811320754,-11.949685534591206,top-5000 GMV,$1-2
11467,Chrome Mox,Mirrodin,177.38,179.99,145.88,1.471417296200256,-17.75848460931334,top-5000 GMV,$100-200
686613,"Witherbloom, the Balancer",Secrets of Strixhaven,4.08,5.49,3.11,34.55882352941177,-23.77450980392157,top-5000 GMV,$2-5
5226,Shallow Grave,Mirage,99.75,179.99,101.12,80.44110275689223,1.3734335839599043,top-5000 GMV,$50-100
697490,Patriotic Shield - Sword of Fire and Ice (Borderless),Marvel Universe Eternal-Legal,25.79,32.99,25.25,27.917797595967443,-2.093834819697554,top-5000 GMV,$20-50
135074,Torment of Hailfire,Hour of Devastation,37.94,49.99,37.13,31.76067474960465,-2.134949920927768,top-5000 GMV,$20-50
686600,Professor Dellian Fel,Secrets of Strixhaven,4.38,6.99,3.64,59.589041095890416,-16.89497716894977,top-5000 GMV,$2-5
525752,Exquisite Blood,Commander: The Lost Caverns of Ixalan,36.45,42.99,34.64,17.942386831275716,-4.965706447187934,top-5000 GMV,$20-50
696274,"Loki, God of Mischief",Marvel Super Heroes,2.59,5.99,2.17,131.2741312741313,-16.216216216216214,top-5000 GMV,$2-5
660581,"Toph, Earthbending Master",Avatar: The Last Airbender: Eternal-Legal,36.65,54.99,35.35,50.04092769440656,-3.5470668485675234,top-5000 GMV,$20-50
633136,The Earth Crystal,FINAL FANTASY,12.13,17.99,11.72,48.30997526793072,-3.3800494641385006,top-5000 GMV,$10-20
689155,Jeska's Will (JP Alternate Art),Secrets of Strixhaven: Mystical Archive,82.18,94.99,83.54,15.587734241907992,1.6549038695546352,top-5000 GMV,$50-100
3330,Transmute Artifact,Antiquities,396.5,649.99,324.67,63.93190416141236,-18.11601513240857,top-5000 GMV,$200+
662054,Phyrexian Altar,Secret Lair Countdown Kit,60.18,64.99,58.43,7.992688600864066,-2.90794283815221,top-5000 GMV,$50-100
