card,tcg,ck_price,mp_price,ck_pct,mp_pct,units,origin,ck_cal,ck_cal_pct,band,mp_market,productId
Prismari Charm,0.34,0.35,0.15,2.9411764705882213,-55.88235294117647,3461.0,live,0.2996,-11.882352941176483,$0-1,0.25,686597.0
"Taskmaster, Mercenary Mimic",0.44,0.69,0.15,56.8181818181818,-65.90909090909092,2786.0,live,0.5906399999999999,34.23636363636362,$0-1,0.43,696863.0
Super-Soldier Serum,0.8,1.29,0.42,61.24999999999999,-47.5,3353.0,live,1.10424,38.03000000000001,$0-1,0.77,696467.0
"Ultron, Artificial Malevolence",12.69,19.99,13.35,57.52561071710007,5.200945626477543,2084.0,live,17.111439999999998,34.84192277383766,$10-20,14.0,696581.0
Witherbloom Charm,0.31,0.35,0.15,12.903225806451609,-51.61290322580645,3312.0,live,0.2996,-3.354838709677426,$0-1,0.19,686612.0
"Quandrix, the Proof",2.15,0.99,1.45,-53.95348837209302,-32.558139534883715,2013.0,live,0.84744,-60.584186046511626,$2-5,,686603.0
Exhibition Tidecaller,0.66,0.59,0.15,-10.606060606060614,-77.27272727272727,2863.0,live,0.5050399999999999,-23.47878787878789,$0-1,0.5,686604.0
Abrade,0.3,0.39,0.15,30.00000000000001,-50.0,2780.0,live,0.33384,11.280000000000012,$0-1,0.15,688837.0
Hydroelectric Specimen,0.93,1.49,0.47,60.21505376344085,-49.462365591397855,2648.0,live,1.27544,37.14408602150536,$0-1,,553181.0
Consign to Memory,4.01,5.99,2.53,49.37655860349128,-36.90773067331671,3676.0,live,5.12744,27.866334164588537,$2-5,2.99,552840.0
Spectacular Spider-Man (Borderless),9.11,8.49,3.26,-6.805708013172331,-64.21514818880351,2006.0,live,7.26744,-20.22568605927552,$5-10,,646553.0
Garruk's Uprising,0.43,0.99,0.26,130.2325581395349,-39.53488372093023,2662.0,live,0.84744,97.07906976744188,$0-1,,591806.0
Untimely Malfunction,8.83,11.99,7.84,35.78708946772367,-11.211778029445076,2025.0,live,10.26344,16.23374858437145,$5-10,8.11,576504.0
"Arnyn, Deathbloom Botanist",0.37,0.35,0.15,-5.405405405405411,-59.45945945945946,2479.0,live,0.2996,-19.02702702702703,$0-1,0.16,689160.0
"Invisible Woman, Sue Storm (Borderless)",0.33,0.35,0.15,6.060606060606049,-54.54545454545456,2142.0,live,0.2996,-9.212121212121223,$0-1,,696262.0
"Blech, Loafing Pest",0.42,0.49,0.15,16.666666666666668,-64.28571428571429,2468.0,live,0.41944,-0.1333333333333345,$0-1,0.21,689055.0
