rank,productId,name,set,category,units,transactions,gmv_sale,avg_price
962,512160,Beseech the Mirror,Wilds of Eldraine,Mythic,402,375,8230.47,20.473805970149254
963,686577,Library of Leng (Borderless),Special Guests,Mythic,627,615,8227.66,13.122264752791068
964,562493,Thassa's Oracle (Future Sight),Mystery Booster 2,Rare,286,284,8218.8,28.737062937062934
965,517243,"Galadriel, Light of Valinor (Borderless)",Commander: The Lord of the Rings: Tales of Middle-earth,Mythic,374,374,8217.05,21.970721925133688
966,576514,Floodfarm Verge,Duskmourn: House of Horror,Rare,950,759,8211.24,8.643410526315789
967,643899,Burgeoning (Showcase),Special Guests,Mythic,279,276,8204.3,29.406093189964157
968,696423,Defense of the Heart (Borderless),Marvel Universe Eternal-Legal,Mythic,901,814,8203.72,9.105127635960043
969,614401,Bleachbone Verge,Aetherdrift,Rare,750,645,8197.75,10.930333333333333
970,259290,Unstable Harmonics - Rhystic Study,Secret Lair Drop Series,Rare,130,127,8195.61,63.04315384615385
971,644289,Icetill Explorer (Showcase) (Fracture Foil),Edge of Eternities,Mythic,26,26,8194.76,315.18307692307695
972,552286,Sapphire Medallion,Modern Horizons 3,Rare,1401,1337,8189.04,5.845139186295503
973,164377,Cabal Stronghold,Dominaria,Rare,625,609,8186.24,13.097984
974,624578,Cori-Steel Cutter,Tarkir: Dragonstorm,Rare,1442,1036,8186.0,5.676837725381414
975,552859,Springheart Nantuko,Modern Horizons 3,Rare,1685,1521,8183.56,4.856712166172107
976,552889,Phyrexian Tower (Borderless),Modern Horizons 3,Mythic,166,161,8181.24,49.28457831325301
977,698193,Birds of Paradise,Commander: Marvel Super Heroes,Rare,1082,673,8179.93,7.560009242144178
978,239185,Scalding Tarn (Retro Frame),Modern Horizons 2,Rare,161,143,8166.59,50.72416149068323
979,532899,Undercity Sewers (Borderless),Murders at Karlov Manor,Rare,232,218,8147.26,35.1175
980,163960,Survival of the Fittest - 1998 Brian Selden (EXO),World Championship Decks,Special,121,81,8135.2,67.23305785123966
981,696434,Ravenous Tyrannosaurus (Borderless),Marvel Universe Eternal-Legal,Mythic,842,789,8127.41,9.65250593824228
982,484935,The Ur-Dragon,Commander Masters,Mythic,202,201,8123.54,40.21554455445545
983,558350,"Ral, Crackling Wit",Bloomburrow,Mythic,522,499,8120.28,15.556091954022987
984,212691,Zagoth Triome,Ikoria: Lair of Behemoths,Rare,319,316,8107.72,25.416050156739814
985,553592,Talon Gates of Madara (Extended Art) (Ripple Foil),Commander: Modern Horizons 3,Rare,60,60,8106.44,135.10733333333332
986,646581,Miles Morales (0234) (Borderless),Marvel's Spider-Man,Mythic,232,226,8101.81,34.92159482758621
987,671008,Painter's Servant (Borderless),Special Guests,Mythic,238,230,8101.29,34.039033613445376
988,687372,Toxic Deluge,Commander: Secrets of Strixhaven,Rare,1542,1133,8099.21,5.2524059662775615
989,525597,Spitting Dilophosaurus (Borderless),Universes Beyond: Jurassic World Collection,Rare,240,240,8095.69,33.73204166666667
990,587186,Fierce Guardianship (Rainbow Foil),Secret Lair Drop Series,Rare,123,121,8094.4,65.80813008130082
991,276504,Green Sun's Zenith,Double Masters 2022,Rare,296,274,8091.38,27.335743243243243
992,105555,Scalding Tarn,Zendikar Expeditions,Mythic,24,20,8086.99,336.9579166666667
993,642437,Consult the Star Charts,Edge of Eternities,Rare,1912,1175,8086.17,4.229168410041841
994,544208,Slickshot Show-Off,Outlaws of Thunder Junction,Rare,1302,888,8085.62,6.210153609831029
995,559157,"Baylen, the Haymaker (Borderless) (Raised Foil)",Bloomburrow,Rare,20,20,8079.51,403.9755
996,6275,Yavimaya Hollow,Urza's Destiny,Rare,108,106,8076.89,74.78601851851852
997,534080,Archdruid's Charm,Murders at Karlov Manor,Rare,1215,1010,8071.6,6.643292181069959
998,623012,"Celes, Rune Knight (Borderless)",Commander: FINAL FANTASY,Mythic,231,231,8069.3,34.932034632034636
999,498459,"Fangorn Forest - Yavimaya, Cradle of Growth (Borderless)",Commander: The Lord of the Rings: Tales of Middle-earth,Mythic,158,158,8050.09,50.94993670886076
1000,239196,Tiamat (Borderless),Adventures in the Forgotten Realms,Mythic,185,176,8047.11,43.49789189189189
