productId,name,set,transactions,units,gmv_sale
633136,The Earth Crystal,FINAL FANTASY,1701,1776,22255.09
689155,Jeska's Will (JP Alternate Art),Secrets of Strixhaven: Mystical Archive,256,256,22253.45
3330,Transmute Artifact,Antiquities,58,63,22242.0
662054,Phyrexian Altar,Secret Lair Countdown Kit,386,396,22215.79
553235,Talon Gates of Madara,Commander: Modern Horizons 3,783,1161,22209.65
630870,"Cloud, Midgar Mercenary",FINAL FANTASY,976,1033,22037.16
696542,Jennifer Walters (Borderless) (0388),Marvel Super Heroes,325,332,22008.61
262051,"Boseiju, Who Endures (Borderless)",Kamigawa: Neon Dynasty,232,236,21935.02
448904,Chrome Mox,Secret Lair Countdown Kit,100,104,21841.41
696634,The Astonishing Ant-Man (Borderless),Marvel Super Heroes,333,336,21826.65
222103,Malakir Rebirth,Zendikar Rising,1432,1568,21826.46
162175,Rat Colony,Dominaria,797,3421,21823.39
6232,Replenish,Urza's Destiny,108,119,21656.82
516539,Mox Opal (Retro Frame) (Foil Etched),Secret Lair Drop Series,46,51,21641.07
630917,Summon: Bahamut,FINAL FANTASY,943,984,21577.96
262434,"Otawara, Soaring City",Kamigawa: Neon Dynasty,688,708,21503.08
544392,"Bristly Bill, Spine Sower",Outlaws of Thunder Junction,474,502,21486.9
638912,Sacred Foundry,Edge of Eternities,1563,1835,21465.02
660577,The Banyan Tree - The Great Henge (Borderless),Avatar: The Last Airbender: Eternal-Legal,343,343,21398.41
697059,"Shang-Chi, Master of Kung Fu",Marvel Super Heroes,1569,1937,21389.37
614418,Riverpyre Verge,Aetherdrift,738,938,21297.7
656900,"Aerith, Last Ancient (Borderless) (Chocobo Track Foil)",Commander: FINAL FANTASY,223,224,21267.61
648709,Redirect Lightning,Avatar: The Last Airbender,1682,1839,21253.16
188701,Finale of Devastation,War of the Spark,415,421,21229.31
697485,Heaven-Sent Marvel - Archangel of Thune (Borderless),Marvel Universe Eternal-Legal,895,958,21203.73
218603,Mox Opal (Borderless),Double Masters,54,55,21177.5
686599,"Prismari, the Inspiration",Secrets of Strixhaven,2174,2276,21160.16
688950,Decorum Dissertation,Secrets of Strixhaven,2089,2268,21140.21
490390,"Etali, Primal Conqueror",March of the Machine,586,591,21072.89
641757,Quantum Riddler (Borderless),Edge of Eternities,327,415,21012.0
525381,Hunting Velociraptor (Borderless),Universes Beyond: Jurassic World Collection,285,286,20999.2
233371,Demonic Tutor,Strixhaven: Mystical Archive,233,237,20956.78
687365,Faerie Mastermind,Commander: Secrets of Strixhaven,1628,1949,20938.11
517448,Gandalf the White (Borderless Poster),Universes Beyond: The Lord of the Rings: Tales of Middle-earth,82,82,20753.06
667795,"Yuna, Grand Summoner (Borderless)",WPN & Gateway Promos,471,516,20726.57
679211,Donnie's Bo - Shadowspear (Borderless),Teenage Mutant Ninja Turtles Source Material,1026,1093,20630.22
517603,Cavern of Souls (0269),The Lost Caverns of Ixalan,372,404,20571.35
509518,Rhystic Study,Wilds of Eldraine: Enchanting Tales,221,237,20558.16
697396,"Tippy-Toe, Terrific Partner",Commander: Marvel Super Heroes,1244,1284,20538.62
518158,Tom Bombadil (Borderless Poster),Universes Beyond: The Lord of the Rings: Tales of Middle-earth,71,72,20506.09
696299,"Thor, God of Thunder",Marvel Super Heroes,1908,2179,20498.08
552852,Phyrexian Tower,Modern Horizons 3,719,788,20470.09
696304,"Mjolnir, Hammer of Thor (Borderless) (0339)",Marvel Super Heroes,466,471,20463.94
631064,"Terra, Herald of Hope (Borderless) (Surge Foil)",Commander: FINAL FANTASY,85,86,20427.8
517447,Mount Doom (Borderless Poster),Universes Beyond: The Lord of the Rings: Tales of Middle-earth,96,97,20395.17
98395,Mox Opal,Modern Masters 2015,77,89,20346.87
696671,Cosmic Cube,Marvel Super Heroes,1737,1952,20320.85
697431,Swordsman's Steel,Commander: Marvel Super Heroes,799,842,20310.72
668477,"Captain America, Super-Soldier (Borderless) (0387)",Marvel Super Heroes,249,252,20280.33
91106,"Urborg, Tomb of Yawgmoth",Magic 2015 (M15),351,353,20276.54
638153,Yojimbo - Solitude (Rainbow Foil),Secret Lair Drop Series,28,28,20241.08
686615,"Prismari, the Inspiration (Borderless)",Secrets of Strixhaven,865,869,20126.49
638914,Watery Grave,Edge of Eternities,1630,1870,20053.46
686672,Sylvan Library (Borderless),Special Guests,735,751,20008.27
638908,"Tezzeret, Cruel Captain",Edge of Eternities,880,1032,19930.12
276288,Imperial Seal,Double Masters 2022,125,125,19913.67
656667,Formidable Speaker,Lorwyn Eclipsed,1721,2209,19911.64
589354,Mossborn Hydra,Foundations,1334,1548,19895.87
199361,The Great Henge,Throne of Eldraine,303,310,19891.63
656812,Vivi's Persistence (Borderless),Commander: FINAL FANTASY,480,485,19832.86
541272,Windswept Heath,Modern Horizons 3,1384,1690,19673.34
4183,Lake of the Dead,Alliances,173,198,19634.27
499326,"The Dead Marshes - Urborg, Tomb of Yawgmoth (Borderless)",Commander: The Lord of the Rings: Tales of Middle-earth,157,158,19578.51
630919,Summon: Bahamut (Borderless),FINAL FANTASY,340,342,19547.98
589380,Twinflame Tyrant,Foundations,741,758,19497.32
696340,King T'Challa (Borderless) (0399),Marvel Super Heroes,295,297,19462.45
641799,Gemstone Caverns (0016) (Borderless),Edge of Eternities: Stellar Sights,330,334,19426.56
478276,"Mondrak, Glory Dominus",Phyrexia: All Will Be One,430,435,19412.89
656687,Blood Crypt,Lorwyn Eclipsed,1740,2041,19317.79
688836,Akroma's Will,Secrets of Strixhaven: Mystical Archive,990,1011,19314.19
206978,Shadowspear,Theros Beyond Death,598,604,19286.27
656652,Bitterbloom Bearer,Lorwyn Eclipsed,1060,1128,19235.59
697325,"Nico Minoru, Runaway",Commander: Marvel Super Heroes,472,474,18995.34
240037,Solitude,Modern Horizons 2,384,522,18991.33
31833,Violent Outburst,Alara Reborn,1065,2852,18955.79
689159,Emeritus of Woe (Extended Art),Secrets of Strixhaven,585,599,18928.64
222038,Sea Gate Restoration,Zendikar Rising,446,507,18845.39
533402,"Delney, Streetwise Lookout",Murders at Karlov Manor,498,507,18812.82
38273,Survival of the Fittest,Judge Promos,7,11,18782.69
179473,Ancient Tomb,Ultimate Masters,143,145,18772.9
488276,The One Ring (Extended Art),Universes Beyond: The Lord of the Rings: Tales of Middle-earth,128,142,18757.17
656712,Steam Vents (Borderless),Lorwyn Eclipsed,860,951,18726.93
688899,Culling the Weak,Secrets of Strixhaven: Mystical Archive,1710,1765,18706.38
638910,Breeding Pool,Edge of Eternities,1535,1755,18685.54
230903,"Birgi, God of Storytelling",Kaldheim,566,573,18645.22
648742,Avatar Aang (Raised Foil),Avatar: The Last Airbender,4,4,18575.0
668469,Namor the Sub-Mariner (Borderless) (0391),Marvel Super Heroes,333,341,18547.25
272901,Displacer Kitten,Commander Legends: Battle for Baldur's Gate,514,533,18534.59
276291,Mana Vault,Double Masters 2022,157,166,18520.42
633976,Knights of San d'Oria - Ranger-Captain of Eos (Showcase),FINAL FANTASY: Through the Ages,313,331,18515.65
512510,Agatha's Soul Cauldron,Wilds of Eldraine,449,497,18463.87
631607,Starting Town,FINAL FANTASY,1330,1678,18459.22
656709,Overgrown Tomb,Lorwyn Eclipsed,1624,1919,18407.29
544246,Mana Drain,Outlaws of Thunder Junction: Breaking News,347,349,18352.84
